18, 15,7.170577,2.637014,3.603463,3.392608, 0.3138703
18, 16,4.315482,0.1069651,3.392608,0.8083845, 0.2667897
18, 17,4.995428,1.008849,0.8083845,1.673279, 0.2267713
18, 18,2.853997,0.6488276,1.673279,1.016356, 0.2494484
18, 19,4.396538,0.417304,1.016356,1.08051, 0.2120312
19, 1,1.878309,1.033725,0,1.174489, 0.2
19, 2,3.919994,0.4439917,1.174489,1.023325, 0.22
19, 3,4.950406,0.9487238,1.023325,1.615671, 0.187
19, 4,5.847463,2.104312,1.615671,2.72817, 0.2057
19, 5,6.474037,1.34162,2.72817,2.197023, 0.22627
19, 6,6.082692,3.454413,2.197023,3.89246, 0.1923295
19, 7,3.33613,1.557698,3.89246,1.854104, 0.2115625
19, 8,2.532852,0.7722368,1.854104,1.065673, 0.1798281
19, 9,1.937847,2.893722,1.065673,2.734409, 0.1528539
19, 10,1.762686,3.190732,2.734409,2.952724, 0.1681393
19, 11,2.88216,3.247546,2.952724,3.186648, 0.1849532
19, 12,8.111418,1.885848,3.186648,2.923443, 0.2034485
19, 13,14.11975,3.139571,2.923443,4.969601, 0.1729313
19, 14,4.00128,0.8062906,4.969601,1.338789, 0.1902244
19, 15,5.041028,1.442125,1.338789,2.041942, 0.1616907
19, 16,4.344861,3.231458,2.041942,3.417025, 0.1778598
19, 17,4.416739,2.516562,3.417025,2.833258, 0.1956458
